Accuracy,Macro F1,Binary F1,ROC-AUC,Dataset,Condition,Model
0.7077922077922078,0.6650717703349283,0.5454545454545454,0.66,diabetes_data,Raw,Decision Tree
0.7402597402597403,0.7038461538461538,0.6,0.8159259259259259,diabetes_data,Raw,Random Forest
0.7142857142857143,0.6806184012066365,0.5769230769230769,0.7532407407407407,diabetes_data,Raw,KNN
0.7272727272727273,0.6857142857142857,0.5714285714285714,0.8222222222222222,diabetes_data,Raw,Logistic Regression
0.7207792207792207,0.6210586552217454,0.4266666666666667,0.8003703703703704,diabetes_data,Raw,ANN (MLP)
0.6818181818181818,0.6426237272081459,0.5242718446601942,0.64,diabetes_data,SMOTE,Decision Tree
0.7467532467532467,0.7253395527507203,0.6486486486486487,0.8246296296296297,diabetes_data,SMOTE,Random Forest
0.6623376623376623,0.6471002996650802,0.5737704918032787,0.7359259259259259,diabetes_data,SMOTE,KNN
0.7467532467532467,0.7312390924956369,0.6666666666666666,0.8203703703703704,diabetes_data,SMOTE,Logistic Regression
0.7142857142857143,0.703015427769986,0.6451612903225806,0.8116666666666666,diabetes_data,SMOTE,ANN (MLP)
